Loss: 2.924855142739167	Accuracy: 0.5155875299760192
Loss: 2.509765277930861	Accuracy: 0.697841726618705
Loss: 1.8966760156228928	Accuracy: 0.7649880095923262
Loss: 1.5804372695196718	Accuracy: 0.8129496402877698
Loss: 1.438682270865215	Accuracy: 0.8177458033573142
Loss: 1.086320492557087	Accuracy: 0.8776978417266187
Loss: 1.226886596305873	Accuracy: 0.8800959232613909
Loss: 1.1932683191127285	Accuracy: 0.9040767386091128
Loss: 0.9674412680396102	Accuracy: 0.9112709832134293
Loss: 0.8487963364575677	Accuracy: 0.9136690647482014
Loss: 0.7887939870358096	Accuracy: 0.9280575539568345
Loss: 0.7274058810240308	Accuracy: 0.9184652278177458
Loss: 0.7484065413697386	Accuracy: 0.9256594724220624
Loss: 0.7082279100840955	Accuracy: 0.9448441247002398
Loss: 0.6494763333093001	Accuracy: 0.9424460431654677
Loss: 0.5748012295403986	Accuracy: 0.9400479616306955
Loss: 0.7498089374597057	Accuracy: 0.9280575539568345
Loss: 0.6660268658015341	Accuracy: 0.9400479616306955
Loss: 0.5598664905876192	Accuracy: 0.9376498800959233
Loss: 0.542726378364782	Accuracy: 0.9520383693045563
Loss:  0.591944444783053	Accuracy: 0.9424460431654677
Loss: 4.378036903389489	Accuracy: 0.26666666666666666
Loss: 2.32632333058148	Accuracy: 0.2
Loss: 2.458963282988705	Accuracy: 0.3333333333333333
Loss: 1.2546983128462865	Accuracy: 0.3333333333333333
Loss: 1.8833264359303583	Accuracy: 0.3
Loss: 2.607640554375546	Accuracy: 0.36666666666666664
Loss: 6.355120985011744	Accuracy: 0.36666666666666664
Loss: 3.813934475851921	Accuracy: 0.4
